,INT_DATE,INT_START,SUBSTRATUM,STRATUM,COUNTRY,ID,RESPAGE,RESPSEX,RESPEMP,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,TRUHLTH,TRUNGOS,TRUMEDI,TRULOCG,TRURELI,TRUOMB,TRUSTEU,TRUSTUN,Region_Code,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO,NO<sub>2_lag1,SO<sub>2_lag1,PM2.5_lag1,PM10_lag1,O<sub>3_lag1,CO_lag1,NO<sub>2_lag2,SO<sub>2_lag2,PM2.5_lag2,PM10_lag2,O<sub>3_lag2,CO_lag2,NO<sub>2_lag3,SO<sub>2_lag3,PM2.5_lag3,PM10_lag3,O<sub>3_lag3,CO_lag3,NO<sub>2_lag4,SO<sub>2_lag4,PM2.5_lag4,PM10_lag4,O<sub>3_lag4,CO_lag4,NO<sub>2_lag5,SO<sub>2_lag5,PM2.5_lag5,PM10_lag5,O<sub>3_lag5,CO_lag5
603,2019-10-27,15,1,1,3,70400824,44,2,0,1,6,1,4,3,1,2,5,3,3,5,3,3,4,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
604,2019-10-27,16,1,1,3,120610006,63,2,0,2,8,4,3,3,3,4,2,3,3,5,-1,3,3,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
605,2019-10-27,16,1,1,3,90500213,38,2,0,2,2,3,3,3,3,4,3,3,3,3,3,3,3,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
606,2019-10-27,17,1,1,3,120610017,20,1,1,2,1,1,1,1,1,3,1,4,1,1,3,1,1,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
607,2019-10-27,17,1,1,3,160804920,20,2,0,1,1,3,2,2,2,4,3,2,2,3,3,4,5,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
608,2019-10-27,17,1,1,3,120610025,80,1,1,2,8,2,2,2,2,4,2,4,2,1,4,1,2,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
609,2019-10-27,18,1,1,3,140702120,26,2,1,2,2,4,4,4,1,1,1,3,3,5,3,4,3,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
610,2019-10-27,19,1,1,3,100502914,49,1,1,2,2,4,3,3,1,3,5,3,3,3,4,5,4,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
611,2019-10-28,18,1,1,3,170902404,29,2,1,2,1,3,4,3,2,4,3,3,4,3,4,5,4,1,28.583333333333332,10.652500000000002,25.176,56.086,55.76333333333333,0.9166666666666666,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885
612,2019-10-29,11,1,1,3,170902402,33,2,1,2,2,2,2,2,2,3,3,2,2,2,3,-1,3,1,21.689999999999998,10.5025,24.28,53.49400000000001,57.946666666666665,0.8266666666666667,28.583333333333332,10.652500000000002,25.176,56.086,55.76333333333333,0.9166666666666666,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668
