"INT_DATE","INT_START","SUBSTRATUM","STRATUM","COUNTRY","ID","RESPAGE","RESPSEX","RESPEMP","RESPPOB","RESPMAR","TRUCRTS","TRUPARL","TRUEXEC    ","TRUPRES","TRUHLTH","TRUNGOS","TRUMEDI","TRULOCG","TRURELI","TRUOMB","TRUSTEU","TRUSTUN"
2019-10-12,1960-01-01 14:23:00,4,3,3,322603315,52,2,1,3,2,4,4,3,3,4,3,4,3,4,3,4,3
2019-10-12,1960-01-01 14:36:00,4,3,3,453900216,75,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3
2019-10-12,1960-01-01 14:38:00,3,3,3,584600316,72,1,0,3,6,2,3,2,2,3,3,4,3,4,2,3,3
2019-10-12,1960-01-01 14:40:00,3,3,3,504902105,53,2,0,2,8,1,2,2,1,4,1,1,2,5,3,3,3
2019-10-12,1960-01-01 14:43:00,3,3,3,584600315,71,2,1,2,2,3,3,2,1,1,4,3,2,4,3,-1,4
2019-10-12,1960-01-01 14:43:00,3,3,3,584301017,62,2,1,1,8,2,1,3,2,2,3,4,4,4,3,-1,4
2019-10-12,1960-01-01 14:44:00,9,2,3,687909811,53,2,1,1,7,1,2,1,1,1,2,2,2,5,1,4,4
2019-10-12,1960-01-01 14:46:00,2,3,3,393002107,69,2,0,2,2,2,2,2,2,4,3,3,3,4,2,-1,2
2019-10-12,1960-01-01 14:47:00,4,3,3,453900217,29,2,0,3,2,4,2,4,4,4,3,4,4,4,4,4,4
2019-10-12,1960-01-01 14:51:00,7,2,3,555400408,55,1,0,1,6,2,1,4,3,3,4,3,2,4,1,2,3
2019-10-12,1960-01-01 14:51:00,1,1,3,30203626,87,2,0,3,1,2,1,1,4,3,2,3,2,4,3,2,-1
2019-10-12,1960-01-01 14:57:00,2,3,3,261502103,29,2,0,-3,-3,5,-1,2,1,4,4,5,5,5,-1,4,4
2019-10-12,1960-01-01 15:02:00,6,2,3,413201905,71,1,0,4,7,2,2,2,1,3,2,4,3,5,2,2,2
2019-10-12,1960-01-01 15:06:00,3,3,3,666704312,57,1,0,2,8,3,3,3,3,3,3,3,3,3,3,3,3
2019-10-12,1960-01-01 15:06:00,1,1,3,20201425,43,2,1,3,8,4,2,1,1,1,3,3,3,3,3,2,2
2019-10-12,1960-01-01 15:08:00,2,3,3,403301905,25,2,0,3,2,4,4,3,1,4,4,4,4,5,4,4,4
2019-10-12,1960-01-01 15:09:00,1,1,3,120605218,57,1,0,3,8,1,1,1,1,1,3,3,1,4,4,5,2
2019-10-12,1960-01-01 15:10:00,6,2,3,271701205,56,2,0,1,7,1,1,2,2,2,4,3,3,4,4,3,3
2019-10-12,1960-01-01 15:18:00,7,2,3,495909108,60,2,0,2,2,3,3,3,3,4,3,4,3,3,4,3,3
2019-10-12,1960-01-01 15:20:00,4,3,3,453900219,55,1,1,2,3,1,1,1,3,1,1,1,1,1,1,3,3
2019-10-12,1960-01-01 15:22:00,1,1,3,180904008,30,2,0,1,4,3,2,2,2,3,3,3,2,2,-1,4,3
2019-10-12,1960-01-01 15:25:00,9,2,3,687909812,63,2,0,1,1,1,1,2,4,4,3,3,3,4,1,3,-1
2019-10-12,1960-01-01 15:28:00,7,2,3,656709009,65,2,0,3,6,3,3,3,3,3,4,4,3,2,4,4,4
2019-10-12,1960-01-01 15:30:00,1,1,3,10100504,42,2,1,1,5,4,2,4,3,3,2,3,4,5,3,4,3
2019-10-12,1960-01-01 15:31:00,2,3,3,231101609,75,1,1,1,4,3,4,3,4,4,3,3,2,4,4,2,-1
2019-10-12,1960-01-01 15:33:00,3,3,3,666704313,72,2,0,2,4,3,4,3,3,4,3,3,4,4,3,3,3
2019-10-12,1960-01-01 15:38:00,4,3,3,453900220,57,2,0,3,6,2,3,2,3,4,3,3,3,5,3,4,3
2019-10-12,1960-01-01 15:39:00,2,3,3,393002108,35,2,0,3,4,1,2,2,2,3,3,3,3,4,2,2,2
2019-10-12,1960-01-01 15:48:00,3,3,3,584600320,44,2,0,1,2,-1,3,4,3,4,3,3,4,4,4,4,3
2019-10-12,1960-01-01 15:52:00,3,3,3,584600319,50,1,1,1,2,2,1,1,2,3,3,2,1,4,1,2,1
2019-10-12,1960-01-01 15:54:00,1,1,3,150701326,22,1,0,2,1,3,2,3,2,4,3,2,4,3,3,3,4
2019-10-12,1960-01-01 15:56:00,3,3,3,666704314,30,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
2019-10-12,1960-01-01 16:02:00,1,1,3,30203615,72,2,1,3,4,1,1,3,2,3,3,2,2,4,-1,3,3
2019-10-12,1960-01-01 16:03:00,1,1,3,180903110,21,2,0,3,1,1,1,2,2,3,-1,3,1,1,-1,4,4
2019-10-12,1960-01-01 16:03:00,2,3,3,241201901,65,2,1,2,8,1,3,3,1,3,4,3,4,4,3,3,3
2019-10-12,1960-01-01 16:05:00,2,3,3,403301906,71,2,0,1,8,2,2,1,1,4,4,2,2,-2,2,2,2
2019-10-12,1960-01-01 16:07:00,7,2,3,555400411,56,1,1,1,2,2,1,3,2,4,2,3,3,5,3,2,1
2019-10-12,1960-01-01 16:15:00,9,2,3,687909813,26,2,0,2,3,1,1,1,1,1,3,3,1,5,1,1,4
2019-10-12,1960-01-01 16:16:00,1,1,3,10100507,29,1,1,1,7,3,3,-1,1,4,4,3,3,2,4,3,4
